barangay,dateCommitted,timeCommitted,incidentType,offense,offenseType
PINAGBUKLOD,2024-01-01,02:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-01-01,14:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-01-01,21:08:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION IV-C,2024-01-01,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-01-01,00:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-01-01,00:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION I-A (POB.),2024-01-02,13:25:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO I,2024-01-02,09:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA III,2024-01-03,18:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA III,2024-01-03,18:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-C,2024-01-03,08:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-C,2024-01-03,08:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MEDICION I-B,2024-01-03,23:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MEDICION I-B,2024-01-03,23:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-E,2024-01-03,18:16:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-C,2024-01-03,15:49:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-01-03,10:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-01-03,10:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-01-03,07:52:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-01-04,16:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BUHAY NA TUBIG,2024-01-04,16:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-01-04,20:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-01-04,20:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PAG-ASA III,2024-01-04,19:35:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-B,2024-01-04,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-A,2024-01-04,05:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BAYAN LUMA VII,2024-01-04,03:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
